player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Nickeil Alexander-Walker,alexani01,2022,RS,NOP,2717,1317,-1.526050623083915,-1.544171337767473,-3.070221960851388,-2.690559466913274,-1.199113458620356,-3.889672925533629,-1.845474690787831,-1.552062532951554,-3.397537223739385,-.4381196335728452,-.4381196335728452,0,-.6840764694182019,-1.534859445189004,-2.218935914607206,.6935919846416787
Grayson Allen,allengr01,2022,PO,MIL,644,305,-.2822036000888548,1.016866361113967,.7346627610251117,-4.71960454149321,-3.201107568429698,-7.920712109922908,-1.188959973927221,.0599698218246408,-1.12899015210258,.2621301722715454,0,.2621301722715454,-2.059800541267665,.1612188015236725,-1.898581739743992,.7391034496822251
Grayson Allen,allengr01,2022,RS,MIL,3824,1805,.5770341980543491,-.5305948894383186,.0464393086160305,-.0041061179701815,1.84626407028077,1.842157952310588,.4590782759073888,-.0873666771797793,.3717115987276094,2.871974328539238,2.871974328539238,0,.3978386207293027,-.3292858050769274,.0685528156523753,-.0989385295032567
Jarrett Allen,allenja01,2022,RS,CLE,3667,1809,.2132815524619951,4.246194067836149,4.459475620298145,.0351478778614781,2.327386837688581,2.362534715550059,.1900909005315386,4.06207957617213,4.252170476703669,6.431700494690736,6.431700494690736,0,-.0680185948572002,3.442676158656062,3.374657563798861,-.4791558202784441
Jose Alvarado,alvarjo01,2022,PO,NOP,230,117,-.5944660177224439,.9263284820783226,.3318624643558787,-11.81634273263029,2.148172272037033,-9.668170460593256,-3.087377812006943,1.280760949075832,-1.806616862931111,.0578520785981652,0,.0578520785981652,-.6092698557607259,2.100427786852959,1.491157931092233,-.3821095154316614
Jose Alvarado,alvarjo01,2022,RS,NOP,1749,834,.8248745553907695,4.410188756901229,5.235063312291998,1.373328252947112,4.710656618201808,6.08398487114892,.9924157698656582,4.752955298237802,5.745371068103459,3.609723889100018,3.609723889100018,0,.6441921154267453,4.265845383594288,4.910037499021032,-.1414839470447495
Justin Anderson,anderju01,2022,RS,CLE,102,47,.0523416836483631,-4.352457326625342,-4.300115642976979,17.90989871506554,7.997865056823488,25.90776377188903,3.729691674885286,-2.133144011084029,1.596547663801257,.1046311645535274,.1046311645535274,0,1.423410455012435,-3.630431134346799,-2.207020679334364,.3872017284349802
Justin Anderson,anderju01,2022,RS,IND,556,269,-1.020248823969825,-4.898993777707863,-5.919242601677688,-.4414595132926216,-5.031053269102898,-5.47251278239552,-.9460330045390076,-5.169358135574814,-6.115391140113822,-.4580191238854153,-.4580191238854153,0,-2.245187405465262,-4.197464022895064,-6.442651428360326,-.8357285990603672
Kyle Anderson,anderky01,2022,PO,MEM,481,221,.1355397182084499,-.7003899186740096,-.5648502004655597,1.929480290759615,-3.122265402631341,-1.192785111871727,.479849494715177,-1.326157958275334,-.8463084635601565,.2217788131687183,0,.2217788131687183,.1176913463932858,-1.059013130457527,-.9413217840642409,.1753011881334801
Kyle Anderson,anderky01,2022,RS,MEM,3206,1484,-1.212243640665918,1.001176509243294,-.2110671314226245,-2.429840324196598,.7799621439348083,-1.64987818026179,-1.578370051713635,.9721555258668078,-.606214525846827,1.626714694679776,1.626714694679776,0,-1.301072573908283,1.314920799556039,.0138482256477566,.2203091549253376
Giannis Antetokounmpo,antetgi01,2022,PO,MIL,934,448,3.383646474147335,2.713588561970213,6.097235036117548,9.778096879740819,11.603583032643,21.38167991238382,5.045578829484803,4.608625888449649,9.654204717934451,2.966825583007566,0,2.966825583007566,3.966694391430811,3.980734146544155,7.947428537974966,1.422964714806124
Giannis Antetokounmpo,antetgi01,2022,RS,MIL,4735,2204,5.909016086158048,1.872488777761021,7.781504863919069,3.279294842855726,2.401195321365584,5.680490164221309,5.674105520444886,2.081586307407657,7.755691827852544,12.0132681447921,12.0132681447921,0,5.147675215065616,1.614849042261554,6.76252425732717,1.69150544972805
Thanasis Antetokounmpo,antetth01,2022,PO,MIL,46,20,-1.356011209152207,-3.182191913007931,-4.538203122160138,-21.55332954175411,4.163457897433471,-17.38987164432064,-5.659712149636753,-2.027284675538713,-7.686996825175465,-.0520703169657153,0,-.0520703169657153,-7.47562162196326,-2.683234568185922,-10.15885619014918,.2126718517742258
Thanasis Antetokounmpo,antetth01,2022,RS,MIL,1007,473,-2.522744754415643,.0213228080333433,-2.501421946382299,-4.082158259677872,-3.220944090819293,-7.303102350497165,-3.031120679581129,-.6534390741967403,-3.684559753777869,-.2257897831624509,-.2257897831624509,0,-2.494976546543242,-.7767028055434484,-3.27167935208669,.1141884533542556
Carmelo Anthony,anthoca01,2022,RS,LAL,3850,1793,.2263136397015127,-2.10223258509345,-1.875918945391937,-.4463405261792955,-.1985417077103815,-.644882233889677,.124277251397542,-1.807718531800177,-1.683441280402636,.9747870961606432,.9747870961606432,0,.0840799401510004,-2.130738798714015,-2.046658858563014,-.0910842827905155
Cole Anthony,anthoco01,2022,RS,ORL,4282,2059,-.5002494920166708,-2.06780291301183,-2.568052405028501,.9260492318721569,-1.053463704686901,-.1274144728147439,-.1100780620114001,-1.966787238356279,-2.076865300367679,.706137211644088,.706137211644088,0,-1.178946023038612,-1.438769552196747,-2.617715575235358,-.1402898392871458
OG Anunoby,anunoog01,2022,PO,TOR,415,217,1.101782271266172,1.348983786776806,2.450766058042978,-4.702350314936778,9.877031991790535,5.174681676853757,-.0532721641200483,3.261231595660397,3.207959431540348,.6758338968282531,0,.6758338968282531,-1.499777278362385,2.756110470214569,1.256333191852184,-.641606677218956
OG Anunoby,anunoog01,2022,RS,TOR,3495,1728,-.0545272109331083,-.6893026730771045,-.7438298840102128,1.161413939011444,.2347605120911671,1.396174451102611,.182148724496037,-.5644949743435909,-.3823462498475539,2.085693066705742,2.085693066705742,0,.8469504280283459,.4789703715028715,1.325920799531217,-.081017186056613
Ryan Arcidiacono,arcidry01,2022,RS,NYK,157,76,-2.102236263613431,6.226252674443621,4.12401641083019,-11.52424789797666,2.238987322247424,-9.285260575729236,-4.238316486871958,5.73313428263985,1.494817795767892,.165263876691529,.165263876691529,0,-4.60708007645605,2.999788415884499,-1.607291660571551,.4072070209840095
Trevor Ariza,arizatr01,2022,RS,LAL,957,462,-4.422216161992695,-.3775077432095708,-4.799723905202266,-1.375932879042652,-.892538896489667,-2.268471775532319,-4.036961253937968,-.4760672943955092,-4.513028548333478,-.412054533287801,-.412054533287801,0,-3.610583794341063,-1.45243873533671,-5.063022529677773,-.8454117184721324
D.J. Augustin,augusdj01,2022,RS,HOU,1079,510,-1.654460745450122,-6.345460085351791,-7.999920830801912,-2.070151443306349,-3.777448482940192,-5.847599926246541,-1.807447796333609,-6.128511073486325,-7.935958869819934,-1.349782613243043,-1.349782613243043,0,-1.223020087493021,-7.111631439045055,-8.334651526538076,.0285871769421806
