player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2022,3802,1892,-2.519673132565302,1.762212373845957,-.7574607587193456,-1.686764606947063,3.090178925427706,1.403414318480644,-2.515649413807832,2.140063879142645,-.3755855346651872,2.260267363372168,2.308992175944256,-.0487248125720873,-2.479815130316501,2.024092536472041,-.4557225938444599,-.7281820950219269
Steven Adams,adamsst01,2022,4392,2113,.4586954138826193,1.442928053718213,1.901623467600832,6.295907658335025,-3.181985226951042,3.113922431383983,1.675274376438934,.5266978611544237,2.201972237593357,5.334709796095833,5.134063214325534,.2006465817702984,1.392543280251251,1.579971168959148,2.9725144492104,-.2429128155112741
Bam Adebayo,adebaba01,2022,4591,2285,-.3105813098265127,3.749303477124641,3.438722167298129,2.303120297905374,3.671000984978872,5.974121282884245,.1873409294402005,3.912160354249074,4.099501283689275,8.051605980180637,6.115772515018649,1.935833465161989,.42509932346138,3.535836818494898,3.960936141956279,.0294839937614556
Santi Aldama,aldamsa01,2022,763,360,-2.613890469016299,-2.395257725524919,-5.009148194541218,-2.739330855581226,1.185587628179842,-1.553743227401384,-2.841832778196088,-1.839811511903275,-4.681644290099363,-.3560573174314984,-.3560573174314984,0,-1.685459405153471,-2.265721088470951,-3.951180493624422,.3575037261770667
LaMarcus Aldridge,aldrila01,2022,2205,1050,-.5012009143739955,2.319159434866827,1.817958520492831,1.090318564911179,-.4505166428202907,.6398019220908882,-.2292373886822863,1.895970615281394,1.666733226599107,2.360744735337164,2.360744735337164,0,.2975125873167213,.9047387640234589,1.20225135134018,-.2258400580116098
Nickeil Alexander-Walker,alexani01,2022,3037,1471,-1.501092614206635,-1.212057534340626,-2.713150148547261,-2.397099002048066,-.9683205648372031,-3.365419566885269,-1.773218625873237,-1.227174181713853,-3.00039280758709,-.2011323117355947,-.2970722123425616,.0959399006069669,-.7303889478338914,-1.325050831767767,-2.055439779601658,.6864691007705102
Grayson Allen,allengr01,2022,4468,2110,.4531870310883188,-.3075498927159211,.1456371383723976,-.6837795702416296,1.118755714119279,.4349761438776492,.2215365048927315,-.0661301719517474,.1554063329409841,3.134104500810784,2.871974328539238,.2621301722715454,.043604148856866,-.2585863944567872,-.2149822455999212,.0218535552316247
Jarrett Allen,allenja01,2022,3667,1809,.2132815524619951,4.246194067836149,4.459475620298145,.0351478778614781,2.327386837688581,2.362534715550059,.1900909005315386,4.06207957617213,4.252170476703669,6.431700494690736,6.431700494690736,0,-.0680185948572002,3.442676158656062,3.374657563798861,-.4791558202784441
Jose Alvarado,alvarjo01,2022,1979,951,.6599183493189964,4.005293424304327,4.665211773623323,-.1595794411826515,4.412843884690996,4.253264443508344,.5182608816237693,4.349415783176027,4.867676664799795,3.667575967698184,3.609723889100018,.0578520785981652,.4985143724388128,4.014179872098327,4.51269424453714,-.16944952598815
Justin Anderson,anderju01,2022,658,316,-.8539809945214127,-4.81427232176498,-5.668253316286393,2.403279908124601,-3.011372920707014,-.6080930125824144,-.2212246195826581,-4.698698803206942,-4.9199234227896,-.3533879593318879,-.3533879593318879,0,-1.676498983324342,-4.10956530764898,-5.786064290973323,-.6461558127313012
Kyle Anderson,anderky01,2022,3687,1705,-1.036414024278999,.7791929313132092,-.2572210929657901,-1.861130474510149,.2708839096255277,-1.590246564884621,-1.309858090272827,.6723213013286006,-.6375367889442264,1.848493507848495,1.626714694679776,.2217788131687183,-1.11598294937206,1.00522125511977,-.1107616942522898,.2144374890650492
Giannis Antetokounmpo,antetgi01,2022,5669,2652,5.492947076170747,2.011064752086543,7.504011828257291,4.350009449038594,3.917341047654718,8.267350496693311,5.570552172525197,2.497930454293037,8.068482626818234,14.98009372779966,12.0132681447921,2.966825583007566,4.953101905967908,2.004642072319756,6.957743978287664,1.647261835965997
Thanasis Antetokounmpo,antetth01,2022,1053,493,-2.471776337433574,-.1186218046617171,-2.590398142095292,-4.845381316634668,-2.898358628844339,-7.743739945479007,-3.145949936582609,-.7134551213588778,-3.859405057941487,-.2778601001281663,-.2257897831624509,-.0520703169657153,-2.712554584025978,-.859989093370185,-3.572543677396163,.1184906720886513
Carmelo Anthony,anthoca01,2022,3850,1793,.2263136397015127,-2.10223258509345,-1.875918945391937,-.4463405261792955,-.1985417077103815,-.644882233889677,.124277251397542,-1.807718531800177,-1.683441280402636,.9747870961606432,.9747870961606432,0,.0840799401510004,-2.130738798714015,-2.046658858563014,-.0910842827905155
Cole Anthony,anthoco01,2022,4282,2059,-.5002494920166708,-2.06780291301183,-2.568052405028501,.9260492318721569,-1.053463704686901,-.1274144728147439,-.1100780620114001,-1.966787238356279,-2.076865300367679,.706137211644088,.706137211644088,0,-1.178946023038612,-1.438769552196747,-2.617715575235358,-.1402898392871458
OG Anunoby,anunoog01,2022,3910,1945,.0682012890957156,-.4729628058547584,-.4047615167590429,.5390450987586274,1.258172958146215,1.797218056904843,.1571615969319256,-.1584395967088965,-.0012779997769709,2.761526963533996,2.085693066705742,.6758338968282531,.5978731906492785,.7206617119032179,1.318534902552496,-.1405170936863757
Ryan Arcidiacono,arcidry01,2022,157,76,-2.102236263613431,6.226252674443621,4.12401641083019,-11.52424789797666,2.238987322247424,-9.285260575729236,-4.238316486871958,5.73313428263985,1.494817795767892,.165263876691529,.165263876691529,0,-4.60708007645605,2.999788415884499,-1.607291660571551,.4072070209840095
